LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Status
C38695,TJA1051T/3/1J,NXP Semicon,SOIC-8-150mil,5Mbps CAN FD Transceiver SOIC-8-150mil CAN Transceivers ROHS,YES,10,0.4322,4.32,-
C7424755,3225-8.00-20-10-10/4B,Suzhou Liming Elec,SMD3225-4P,8MHz 20pF ±10ppm SMD3225-4P Crystals ROHS,YES,10,0.1609,1.61,-
C22548,RC0603FR-071KL,YAGEO,0603,100mW Thick Film Resistor 75V ±100ppm/℃ ±1% 1kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,1000,0.0008,0.8,-
C2943466,ITR1204SR10A/TR,Everlight Elec,SMD-4P,SMD-4P Reflective Optical Interrupters ROHS,YES,20,0.1723,3.45,-
C7528083,M3*4-cu,ZHONGYI,-,Patch round nut ,NO,10,0.051,0.51,-
C2916369,SMTSO3080CTJ,Sinhoo,-,Patch round nut ROHS,YES,10,0.0979,0.98,-
C2977151,AMS1117-5.0RG,HANSCHIP semiconductor,SOT-223,"75dB@(120Hz) 1A Fixed 5V Positive 15V SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,10,0.0349,0.35,-
C2878926,TPSM84209RKHR,Texas Instruments,QFN-9-FOD(4x4.5)cm,Buck Adjustable 1.2V~6V 2.5A 4.5V~28V QFN-9-FOD(4x4.5)cm DC-DC Converters ROHS,YES,5,1.9882,9.94,-
C70377,CR2032-BS-6-1,Q&J,SMD,Battery Holder CR2032 SMD Button And Strip Battery Connector ROHS,YES,5,0.1739,0.87,-
C14663,CC0603KRX7R9BB104,YAGEO,0603,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,0.002,0.2,-
C223608,MBR120VLSFT1G,onsemi,SOD-123FL,20V 300mV@1A 1A SOD-123FL Schottky Diodes ROHS,YES,30,0.2112,6.34,-
C138010,RC0402FR-07300RL,YAGEO,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 300Ω 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0007,0.07,-
C107410,DS3231MZ+TRL,Analog Devices Inc./Maxim Integrated,SOIC-8,I2C SOIC-8 Real Time Clocks ROHS,YES,6,3.7014,22.21,-
C17168,0402WGF0000TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±800ppm/℃ ±1% 0Ω 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0005,0.05,-
C239522,A1002WR-S-4P,CJT(Changjiang Connectors),"SMD,P=1mm,Surface Mount,Right Angle","1x4P 4P SH 1 1mm 4 Phosphor Bronze SMD,P=1mm,Surface Mount,Right Angle Wire To Board Connector ROHS",YES,10,0.1964,1.96,-
C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,0.0055,0.55,-
C19666,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,0.0102,1.02,-
C16133,TAJB107K006RNJ,Kyocera AVX,CASE-B-3528-21(mm),100uF 6.3V 1.7Ω@100kHz ±10% CASE-B-3528-21(mm) Tantalum Capacitors ROHS,YES,10,0.1389,1.39,-
C383211,LESD5D5.0CT1G,LRC,SOD-523,9.4A@8/20us 150W@8/20us 18.6V 7.8V Bidirectional 5V SOD-523 ESD and Surge Protection (TVS/ESD) ROHS,YES,50,0.0206,1.03,-
C461817,DESD3V3E1BL-7B,Diodes Incorporated,X1-DFN1006-2,5A@8/20us 35W 7V 3.8V 3.3V X1-DFN1006-2 ESD and Surge Protection (TVS/ESD) ROHS,YES,50,0.0456,2.28,-
C910843,BSMD2920-200-33V,BHFUSE,2920,33V 2A 40A 4A 2920 Resettable Fuses ROHS,YES,20,0.1229,2.46,-
C25896,0402WGF4752TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 47.5kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0006,0.06,-
C269505,RMC060368.1K1%N,TyoHM,0603,100mW Thick Film Resistor 50V ±100ppm/℃ ±1% 68.1kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,0.003,0.3,-
C43473,0402WGF2212TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 22.1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0006,0.06,-
C11702,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0006,0.06,-
C27438,2.54-1*8P,BOOMELE(Boom Precision Elec),"Through Hole,P=2.54mm","2.54mm 1 8P Through Hole 1x8P Through Hole,P=2.54mm Female Headers ROHS",YES,10,0.0765,0.77,-
C239514,A1002WV-S-5P,CJT(Changjiang Connectors),"SMD,P=1mm","1x5P 5P SH 1 1mm 5 Phosphor Bronze SMD,P=1mm Wire To Board Connector ROHS",YES,10,0.2822,2.82,-
C96493,HNB09A05,Jiangsu Huaneng Elec,"Through Hole,D=9mm","85dB Active Buzzer (Built-in Driving Circuit) Electromagnetic 3kHz Through Hole,D=9mm Buzzers ROHS",YES,10,0.2306,2.31,-
